QuestionID,Topic,Difficulty,Question,Options,Answer,Explanation
1554,Percentages,Expert,"If 30% of a number is 1760, what is the number?","[5866.67, 4693.34, 3520.0, 2346.67]",5866.67,x = 1760/(0.3) = 5866.67
1555,Percentages,Easy,What is 10% of 1800?,"[90.0, 45.0, 180.0, 135.0]",180,10% = 10/100. So 10/100 × 1800 = 180.0
1556,Geometry,Expert,Hypotenuse of right triangle with legs 13 cm and 5 cm?,"[9.75, 13.93, 11.84, 7.66]",13.93,c=sqrt(13^2+5^2)=13.93
1557,Ratios,Medium,"Ratio 18:6, total=337. Find parts.","['257.75,79.25', '249.75,87.25', '252.75,84.25', '254.75,82.25']","252.75,84.25","Parts=252.75,84.25"
1558,Ratios,Medium,"Ratio 11:11, total=418. Find parts.","['206.0,212.0', '211.0,207.0', '214.0,204.0', '209.0,209.0']","209.0,209.0","Parts=209.0,209.0"
1559,Percentages,Easy,What is 10% of 1050?,"[52.5, 78.75, 105.0, 26.25]",105,10% = 10/100. So 10/100 × 1050 = 105.0
1560,Percentages,Expert,What is 40% of 3300?,"[660.0, 990.0, 330.0, 1320.0]",1320,40% = 40/100. So 40/100 × 3300 = 1320.0
1561,Geometry,Expert,Find area of circle radius 7 cm.,"[38.48, 76.97, 153.94, 115.45]",153.94,Area=pi*r^2=153.94
1562,Ratios,Easy,"Ratio 15:6, total=375. Find parts.","['272.86,102.14', '264.86,110.14', '269.86,105.14', '267.86,107.14']","267.86,107.14","Parts=267.86,107.14"
1563,Ratios,Medium,"Ratio 7:18, total=429. Find parts.","['120.12,308.88', '117.12,311.88', '122.12,306.88', '125.12,303.88']","120.12,308.88","Parts=120.12,308.88"
1564,Geometry,Hard,Hypotenuse of right triangle with legs 6 cm and 22 cm?,"[12.54, 19.38, 15.96, 22.8]",22.8,c=sqrt(6^2+22^2)=22.8
1565,Probability,Expert,Urn has 8 red and 2 blue. Prob red?,"['7/10', '8/12', '8/10', '9/10']",08-Oct,"Favorable=8, Total=10"
1566,Algebra,Easy,Find the roots of x^2 + 4x + -5 = 0,"['(2,-6)', '(-5,1)', '(1, -5)', '(0,-4)']","(1, -5)",Roots are 1 and -5
1567,Percentages,Expert,What is 12.5% of 2350?,"[73.44, 146.88, 220.31, 293.75]",293.75,12.5% = 12.5/100. So 12.5/100 × 2350 = 293.75
1568,Geometry,Easy,Find area of triangle with base 26 cm and height 20 cm.,"[65.0, 195.0, 260.0, 130.0]",260,Area = 0.5*26*20 = 260.0
1569,Number Theory,Easy,"gcd(187,58)?","[-2, -1, 1, 0]",1,gcd=1
1570,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1571,Ratios,Hard,"Ratio 14:4, total=479. Find parts.","['372.56,106.44', '369.56,109.44', '377.56,101.44', '374.56,104.44']","372.56,106.44","Parts=372.56,106.44"
1572,Number Theory,Medium,Is 42 prime?,"['Yes', 'No']",No,42 is No
1573,Ratios,Hard,"Ratio 6:12, total=351. Find parts.","['117.0,234.0', '122.0,229.0', '119.0,232.0', '114.0,237.0']","117.0,234.0","Parts=117.0,234.0"
1574,Percentages,Easy,What is 12.5% of 4750?,"[593.75, 445.31, 148.44, 296.88]",593.75,12.5% = 12.5/100. So 12.5/100 × 4750 = 593.75
1575,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1576,Algebra,Medium,Solve for x: 4x + 13 = 49,"[4.5, 6.75, 2.25, 9.0]",9,x = (49-13)/4 = 9.0
1577,Number Theory,Hard,"gcd(29,38)?","[0, -2, -1, 1]",1,gcd=1
1578,Algebra,Hard,Solve for x: 9x + 13 = 9,"[-0.45, -0.44, -0.47, -0.46]",-0.44,x = (9-13)/9 = -0.44
1579,Probability,Expert,Urn has 4 red and 3 blue. Prob red?,"['5/7', '3/7', '4/9', '4/7']",04-Jul,"Favorable=4, Total=7"
1580,Probability,Medium,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1581,Ratios,Easy,"Ratio 8:3, total=464. Find parts.","['334.45,129.55', '339.45,124.55', '337.45,126.55', '342.45,121.55']","337.45,126.55","Parts=337.45,126.55"
1582,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1583,Algebra,Expert,Solve for x: 5x + 19 = 31,"[2.4, 0.6, 1.2, 1.8]",2.4,x = (31-19)/5 = 2.4
1584,Percentages,Expert,"In an election with 2 candidates, the winner got 65% of votes and won by 900 votes. Find total votes cast.","[2999, 2998, 3000, 2997]",3000,100% = 900/(0.3) = 3000
1585,Percentages,Easy,"In an election with 2 candidates, the winner got 60% of votes and won by 900 votes. Find total votes cast.","[4498, 4500, 4497, 4499]",4500,100% = 900/(0.2) = 4500
1586,Geometry,Hard,Find circumference of circle radius 24 cm.,"[113.1, 75.4, 150.8, 37.7]",150.8,Circumference=2*pi*r=150.8
1587,Percentages,Medium,A cask of 60L full of wine has 10L drawn and replaced with water. This is done 4 times. How much wine remains (to 2 decimals)?,"[24.31, 28.94, 26.62, 21.99]",28.94,Wine remaining = 60 * (1 - 10/60)^4 = 28.94L
1588,Number Theory,Expert,"lcm(25,5)?","[25, 24, 23, 22]",25,LCM=25
1589,Geometry,Medium,Find area of circle radius 3 cm.,"[7.07, 28.27, 21.2, 14.13]",28.27,Area=pi*r^2=28.27
1590,Ratios,Easy,"Ratio 9:17, total=87. Find parts.","['27.12,59.88', '32.120000000000005,54.88', '35.120000000000005,51.88', '30.12,56.88']","30.12,56.88","Parts=30.12,56.88"
1591,Probability,Easy,Urn has 5 red and 3 blue. Prob red?,"['5/8', '4/8', '6/8', '5/10']",05-Aug,"Favorable=5, Total=8"
1592,Percentages,Easy,"In an election with 2 candidates, the winner got 70% of votes and won by 1200 votes. Find total votes cast.","[2997, 3000, 2998, 2999]",3000,100% = 1200/(0.4) = 3000
1593,Geometry,Medium,Find area of triangle with base 7 cm and height 4 cm.,"[3.5, 14.0, 10.5, 7.0]",14,Area = 0.5*7*4 = 14.0
1594,Ratios,Easy,"Ratio 19:17, total=76. Find parts.","['37.11,38.89', '40.11,35.89', '45.11,30.89', '42.11,33.89']","40.11,35.89","Parts=40.11,35.89"
1595,Probability,Expert,Urn has 3 red and 2 blue. Prob red?,"['3/7', '3/5', '2/5', '4/5']",03-May,"Favorable=3, Total=5"
1596,Geometry,Medium,Find area of circle radius 15 cm.,"[706.86, 530.14, 176.72, 353.43]",706.86,Area=pi*r^2=706.86
1597,Number Theory,Easy,"gcd(125,157)?","[-1, 0, 1, -2]",1,gcd=1
1598,Percentages,Easy,What is 40% of 900?,"[270.0, 90.0, 360.0, 180.0]",360,40% = 40/100. So 40/100 × 900 = 360.0
1599,Geometry,Hard,Hypotenuse of right triangle with legs 10 cm and 13 cm?,"[9.02, 16.4, 13.94, 11.48]",16.4,c=sqrt(10^2+13^2)=16.4
1600,Probability,Easy,Urn has 2 red and 2 blue. Prob red?,"['2/4', '1/4', '3/4', '2/6']",02-Apr,"Favorable=2, Total=4"
1601,Probability,Hard,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
1602,Ratios,Hard,"Ratio 13:19, total=199. Find parts.","['80.84,118.16', '82.84,116.16', '77.84,121.16', '85.84,113.16']","80.84,118.16","Parts=80.84,118.16"
1603,Geometry,Easy,Find area of triangle with base 26 cm and height 17 cm.,"[165.75, 55.25, 110.5, 221.0]",221,Area = 0.5*26*17 = 221.0
1604,Algebra,Medium,"Solve the system: 4x+5y=30, 4x+2y=12","['(-1,5)', '(0,7)', '(0,6)', '(1,6)']","(0,6)","Solved x=0, y=6"
1605,Ratios,Expert,"Ratio 16:5, total=60. Find parts.","['42.71,17.29', '50.71,9.29', '45.71,14.29', '47.71,12.29']","45.71,14.29","Parts=45.71,14.29"
1606,Geometry,Expert,Find area of circle radius 4 cm.,"[12.57, 25.14, 50.27, 37.7]",50.27,Area=pi*r^2=50.27
1607,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1608,Probability,Expert,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1609,Algebra,Expert,Solve for x: 12x + 14 = 35,"[1.75, 0.88, 1.31, 0.44]",1.75,x = (35-14)/12 = 1.75
1610,Percentages,Hard,What is 25% of 3950?,"[493.75, 246.88, 987.5, 740.62]",987.5,25% = 25/100. So 25/100 × 3950 = 987.5
1611,Percentages,Hard,A cask of 80L full of wine has 10L drawn and replaced with water. This is done 4 times. How much wine remains (to 2 decimals)?,"[43.14, 39.39, 46.89, 35.64]",46.89,Wine remaining = 80 * (1 - 10/80)^4 = 46.89L
1612,Ratios,Hard,"Ratio 19:16, total=267. Find parts.","['146.94,120.06', '149.94,117.06', '144.94,122.06', '141.94,125.06']","144.94,122.06","Parts=144.94,122.06"
1613,Probability,Medium,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1614,Geometry,Hard,Find area of triangle with base 19 cm and height 28 cm.,"[66.5, 266.0, 133.0, 199.5]",266,Area = 0.5*19*28 = 266.0
1615,Percentages,Hard,A value changed by 15% then by -12.5%. What is the net change?,"['8.62% loss', '0.62% gain', '4.62% gain', '3.38% loss']",0.62% gain,Net change = 15 + -12.5 + (15*-12.5/100) = 0.62%
1616,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1617,Percentages,Expert,What is 40% of 2350?,"[705.0, 235.0, 940.0, 470.0]",940,40% = 40/100. So 40/100 × 2350 = 940.0
1618,Number Theory,Easy,"lcm(24,22)?","[264, 262, 261, 263]",264,LCM=264
1619,Algebra,Hard,Find the roots of x^2 + 1x + -2 = 0,"['(-3,2)', '(-1,0)', '(-2, 1)', '(1,-2)']","(-2, 1)",Roots are -2 and 1
1620,Algebra,Easy,Solve for x: 3x + 2 = 12,"[0.83, 1.67, 2.5, 3.33]",3.33,x = (12-2)/3 = 3.33
1621,Percentages,Medium,What is 20% of 4650?,"[930.0, 465.0, 232.5, 697.5]",930,20% = 20/100. So 20/100 × 4650 = 930.0
1622,Number Theory,Easy,Is 25 prime?,"['Yes', 'No']",No,25 is No
1623,Geometry,Easy,Find area of triangle with base 36 cm and height 18 cm.,"[162.0, 324.0, 243.0, 81.0]",324,Area = 0.5*36*18 = 324.0
1624,Algebra,Medium,Find the roots of x^2 + -2x + -3 = 0,"['(4,-2)', '(-1,3)', '(3, -1)', '(2,0)']","(3, -1)",Roots are 3 and -1
1625,Geometry,Medium,Find area of triangle with base 24 cm and height 23 cm.,"[69.0, 276.0, 138.0, 207.0]",276,Area = 0.5*24*23 = 276.0
1626,Ratios,Hard,"Ratio 17:11, total=368. Find parts.","['220.43,147.57', '228.43,139.57', '225.43,142.57', '223.43,144.57']","223.43,144.57","Parts=223.43,144.57"
1627,Percentages,Hard,"If 40% of a number is 110, what is the number?","[165.0, 275.0, 220.0, 110.0]",275,x = 110/(0.4) = 275.0
1628,Geometry,Hard,Find area of triangle with base 28 cm and height 30 cm.,"[210.0, 420.0, 315.0, 105.0]",420,Area = 0.5*28*30 = 420.0
1629,Probability,Easy,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1630,Number Theory,Expert,Is 17 prime?,"['Yes', 'No']",Yes,17 is Yes
1631,Number Theory,Easy,Is 40 prime?,"['Yes', 'No']",No,40 is No
1632,Ratios,Expert,"Ratio 12:10, total=149. Find parts.","['83.27,65.73', '86.27,62.730000000000004', '81.27,67.73', '78.27,70.73']","81.27,67.73","Parts=81.27,67.73"
1633,Algebra,Hard,Solve for x: 9x + 11 = 48,"[2.06, 4.11, 3.08, 1.03]",4.11,x = (48-11)/9 = 4.11
1634,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1635,Percentages,Hard,A cask of 40L full of wine has 8L drawn and replaced with water. This is done 4 times. How much wine remains (to 2 decimals)?,"[13.76, 12.45, 15.07, 16.38]",16.38,Wine remaining = 40 * (1 - 8/40)^4 = 16.38L
1636,Probability,Expert,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1637,Number Theory,Medium,"lcm(26,23)?","[595, 598, 597, 596]",598,LCM=598
1638,Geometry,Hard,Find area of circle radius 5 cm.,"[58.91, 19.64, 39.27, 78.54]",78.54,Area=pi*r^2=78.54
1639,Number Theory,Expert,Is 22 prime?,"['Yes', 'No']",No,22 is No
1640,Algebra,Expert,Solve for x: 4x + 4 = 27,"[1.44, 2.88, 5.75, 4.31]",5.75,x = (27-4)/4 = 5.75
1641,Ratios,Easy,"Ratio 6:3, total=476. Find parts.","['322.33,153.67', '314.33,161.67', '317.33,158.67', '319.33,156.67']","317.33,158.67","Parts=317.33,158.67"
1642,Percentages,Medium,A cask of 80L full of wine has 10L drawn and replaced with water. This is done 3 times. How much wine remains (to 2 decimals)?,"[49.3, 40.73, 53.59, 45.02]",53.59,Wine remaining = 80 * (1 - 10/80)^3 = 53.59L
1643,Ratios,Hard,"Ratio 5:12, total=472. Find parts.","['143.82,328.18', '138.82,333.18', '140.82,331.18', '135.82,336.18']","138.82,333.18","Parts=138.82,333.18"
1644,Ratios,Easy,"Ratio 4:13, total=279. Find parts.","['65.65,213.35', '70.65,208.35', '62.650000000000006,216.35', '67.65,211.35']","65.65,213.35","Parts=65.65,213.35"
1645,Ratios,Expert,"Ratio 11:17, total=408. Find parts.","['162.29,245.71', '160.29,247.71', '157.29,250.71', '165.29,242.71']","160.29,247.71","Parts=160.29,247.71"
1646,Ratios,Easy,"Ratio 6:2, total=353. Find parts.","['264.75,88.25', '269.75,83.25', '266.75,86.25', '261.75,91.25']","264.75,88.25","Parts=264.75,88.25"
1647,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1648,Algebra,Hard,Solve for x: 5x + 10 = 32,"[4.4, 2.2, 1.1, 3.3]",4.4,x = (32-10)/5 = 4.4
1649,Geometry,Hard,Find area of circle radius 12 cm.,"[452.39, 339.29, 113.1, 226.19]",452.39,Area=pi*r^2=452.39
1650,Probability,Hard,Urn has 6 red and 4 blue. Prob red?,"['7/10', '6/12', '6/10', '5/10']",06-Oct,"Favorable=6, Total=10"
1651,Algebra,Easy,Find the roots of x^2 + 1x + -2 = 0,"['(1,-2)', '(-1,0)', '(-2, 1)', '(-3,2)']","(-2, 1)",Roots are -2 and 1
1652,Geometry,Hard,Hypotenuse of right triangle with legs 6 cm and 11 cm?,"[8.77, 12.53, 6.89, 10.65]",12.53,c=sqrt(6^2+11^2)=12.53
1653,Algebra,Medium,Solve for x: 11x + 2 = 35,"[2.25, 3.0, 0.75, 1.5]",3,x = (35-2)/11 = 3.0
1654,Percentages,Hard,"If 25% of a number is 1510, what is the number?","[2416.0, 3624.0, 4832.0, 6040.0]",6040,x = 1510/(0.25) = 6040.0
1655,Number Theory,Medium,"lcm(14,8)?","[56, 55, 54, 53]",56,LCM=56
1656,Probability,Hard,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1657,Geometry,Easy,Find area of circle radius 4 cm.,"[37.7, 50.27, 25.14, 12.57]",50.27,Area=pi*r^2=50.27
1658,Number Theory,Hard,"lcm(19,25)?","[475, 473, 474, 472]",475,LCM=475
1659,Percentages,Expert,What is 50% of 4600?,"[1150.0, 2300.0, 575.0, 1725.0]",2300,50% = 50/100. So 50/100 × 4600 = 2300.0
1660,Ratios,Easy,"Ratio 9:6, total=350. Find parts.","['215.0,135.0', '207.0,143.0', '210.0,140.0', '212.0,138.0']","210.0,140.0","Parts=210.0,140.0"
1661,Geometry,Expert,Find area of triangle with base 35 cm and height 30 cm.,"[131.25, 525.0, 393.75, 262.5]",525,Area = 0.5*35*30 = 525.0
1662,Geometry,Medium,Find area of triangle with base 9 cm and height 20 cm.,"[67.5, 90.0, 22.5, 45.0]",90,Area = 0.5*9*20 = 90.0
1663,Percentages,Expert,A cask of 50L full of wine has 6L drawn and replaced with water. This is done 2 times. How much wine remains (to 2 decimals)?,"[29.43, 32.52, 35.62, 38.72]",38.72,Wine remaining = 50 * (1 - 6/50)^2 = 38.72L
1664,Number Theory,Expert,Is 47 prime?,"['Yes', 'No']",Yes,47 is Yes
1665,Algebra,Hard,Find the roots of x^2 + -6x + 8 = 0,"['(3,3)', '(2, 4)', '(1,5)', '(4,2)']","(2, 4)",Roots are 2 and 4
1666,Geometry,Expert,Find circumference of circle radius 22 cm.,"[34.56, 69.11, 138.23, 103.67]",138.23,Circumference=2*pi*r=138.23
1667,Geometry,Easy,Find area of triangle with base 11 cm and height 28 cm.,"[38.5, 154.0, 77.0, 115.5]",154,Area = 0.5*11*28 = 154.0
1668,Geometry,Medium,Hypotenuse of right triangle with legs 16 cm and 7 cm?,"[9.6, 14.84, 17.46, 12.22]",17.46,c=sqrt(16^2+7^2)=17.46
1669,Ratios,Easy,"Ratio 13:14, total=410. Find parts.","['197.41,212.59', '194.41,215.59', '199.41,210.59', '202.41,207.59']","197.41,212.59","Parts=197.41,212.59"
1670,Number Theory,Expert,Is 25 prime?,"['Yes', 'No']",No,25 is No
1671,Percentages,Hard,A value changed by 25% then by -15%. What is the net change?,"['10.25% loss', '14.25% loss', '6.25% gain', '2.25% loss']",6.25% gain,Net change = 25 + -15 + (25*-15/100) = 6.25%
1672,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1673,Geometry,Easy,Find area of circle radius 17 cm.,"[453.96, 226.98, 907.92, 680.94]",907.92,Area=pi*r^2=907.92
1674,Geometry,Expert,Find area of circle radius 9 cm.,"[254.47, 63.62, 190.85, 127.23]",254.47,Area=pi*r^2=254.47
1675,Number Theory,Hard,"gcd(174,158)?","[0, 2, 1, -1]",2,gcd=2
1676,Probability,Easy,Urn has 4 red and 4 blue. Prob red?,"['4/8', '5/8', '4/10', '3/8']",04-Aug,"Favorable=4, Total=8"
1677,Number Theory,Medium,"lcm(22,11)?","[19, 22, 21, 20]",22,LCM=22
1678,Ratios,Medium,"Ratio 11:7, total=241. Find parts.","['149.28,91.72', '147.28,93.72', '152.28,88.72', '144.28,96.72']","147.28,93.72","Parts=147.28,93.72"
1679,Number Theory,Medium,"gcd(29,25)?","[1, -1, 0, -2]",1,gcd=1
1680,Probability,Easy,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
1681,Geometry,Easy,Find area of triangle with base 19 cm and height 5 cm.,"[23.75, 11.88, 47.5, 35.62]",47.5,Area = 0.5*19*5 = 47.5
1682,Probability,Expert,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
1683,Percentages,Easy,What is 30% of 3300?,"[495.0, 742.5, 990.0, 247.5]",990,30% = 30/100. So 30/100 × 3300 = 990.0
1684,Percentages,Expert,"If 40% of a number is 840, what is the number?","[2100.0, 840.0, 1260.0, 1680.0]",2100,x = 840/(0.4) = 2100.0
1685,Geometry,Hard,Find area of circle radius 8 cm.,"[50.26, 100.53, 201.06, 150.8]",201.06,Area=pi*r^2=201.06
1686,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1687,Percentages,Medium,"In an election with 2 candidates, the winner got 70% of votes and won by 1500 votes. Find total votes cast.","[3749, 3747, 3748, 3750]",3750,100% = 1500/(0.4) = 3750
1688,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1689,Ratios,Expert,"Ratio 13:19, total=415. Find parts.","['165.59,249.41', '170.59,244.41', '173.59,241.41', '168.59,246.41']","168.59,246.41","Parts=168.59,246.41"
1690,Number Theory,Easy,"lcm(29,12)?","[345, 347, 346, 348]",348,LCM=348
1691,Number Theory,Easy,Is 29 prime?,"['Yes', 'No']",Yes,29 is Yes
1692,Geometry,Medium,Hypotenuse of right triangle with legs 5 cm and 7 cm?,"[7.31, 8.6, 4.73, 6.02]",8.6,c=sqrt(5^2+7^2)=8.6
1693,Number Theory,Medium,"gcd(56,123)?","[-1, -2, 0, 1]",1,gcd=1
1694,Percentages,Expert,A value changed by 20% then by -12.5%. What is the net change?,"['1.0% gain', '5.0% gain', '9.0% loss', '13.0% loss']",5.0% gain,Net change = 20 + -12.5 + (20*-12.5/100) = 5.0%
1695,Ratios,Medium,"Ratio 19:17, total=329. Find parts.","['170.64,158.36', '173.64,155.36', '178.64,150.36', '175.64,153.36']","173.64,155.36","Parts=173.64,155.36"
1696,Geometry,Expert,Hypotenuse of right triangle with legs 18 cm and 20 cm?,"[22.87, 18.84, 26.91, 14.8]",26.91,c=sqrt(18^2+20^2)=26.91
1697,Ratios,Easy,"Ratio 14:6, total=437. Find parts.","['310.9,126.1', '302.9,134.1', '307.9,129.1', '305.9,131.1']","305.9,131.1","Parts=305.9,131.1"
1698,Algebra,Medium,Find the roots of x^2 + 11x + 30 = 0,"['(-4,-7)', '(-5, -6)', '(-6,-5)', '(-6,-5)']","(-5, -6)",Roots are -5 and -6
1699,Ratios,Expert,"Ratio 6:19, total=264. Find parts.","['60.36,203.64', '68.36,195.64', '63.36,200.64', '65.36,198.64']","63.36,200.64","Parts=63.36,200.64"
1700,Percentages,Expert,A value changed by 30% then by -12.5%. What is the net change?,"['13.75% loss', '13.75% gain', '21.75% gain', '9.75% gain']",13.75% gain,Net change = 30 + -12.5 + (30*-12.5/100) = 13.75%
1701,Number Theory,Hard,Is 48 prime?,"['Yes', 'No']",No,48 is No
1702,Geometry,Expert,Find circumference of circle radius 8 cm.,"[37.7, 50.27, 12.57, 25.14]",50.27,Circumference=2*pi*r=50.27
1703,Percentages,Hard,"In an election with 2 candidates, the winner got 60% of votes and won by 1200 votes. Find total votes cast.","[5998, 5999, 5997, 6000]",6000,100% = 1200/(0.2) = 6000
1704,Geometry,Medium,Find area of triangle with base 10 cm and height 21 cm.,"[78.75, 26.25, 52.5, 105.0]",105,Area = 0.5*10*21 = 105.0
1705,Percentages,Expert,A cask of 50L full of wine has 5L drawn and replaced with water. This is done 3 times. How much wine remains (to 2 decimals)?,"[33.53, 27.7, 36.45, 30.62]",36.45,Wine remaining = 50 * (1 - 5/50)^3 = 36.45L
1706,Algebra,Hard,Find the roots of x^2 + -3x + 0 = 0,"['(0, 3)', '(-1,4)', '(3,0)', '(1,2)']","(0, 3)",Roots are 0 and 3
1707,Geometry,Medium,Find area of triangle with base 13 cm and height 7 cm.,"[34.12, 11.38, 45.5, 22.75]",45.5,Area = 0.5*13*7 = 45.5
1708,Geometry,Easy,Find area of triangle with base 37 cm and height 22 cm.,"[101.75, 305.25, 203.5, 407.0]",407,Area = 0.5*37*22 = 407.0
1709,Ratios,Expert,"Ratio 8:7, total=51. Find parts.","['29.2,21.8', '24.2,26.8', '27.2,23.8', '32.2,18.8']","27.2,23.8","Parts=27.2,23.8"
1710,Number Theory,Medium,"gcd(62,141)?","[0, 1, -1, -2]",1,gcd=1
1711,Percentages,Medium,A cask of 80L full of wine has 10L drawn and replaced with water. This is done 4 times. How much wine remains (to 2 decimals)?,"[35.64, 43.14, 39.39, 46.89]",46.89,Wine remaining = 80 * (1 - 10/80)^4 = 46.89L
1712,Number Theory,Easy,"gcd(163,120)?","[-2, 0, -1, 1]",1,gcd=1
1713,Geometry,Hard,Hypotenuse of right triangle with legs 13 cm and 20 cm?,"[16.7, 23.85, 20.27, 13.12]",23.85,c=sqrt(13^2+20^2)=23.85
1714,Algebra,Hard,"Solve the system: 3x+7y=67, 8x+8y=104","['(7,7)', '(6,7)', '(5,6)', '(6,8)']","(6,7)","Solved x=6, y=7"
1715,Number Theory,Expert,Is 32 prime?,"['Yes', 'No']",No,32 is No
1716,Algebra,Easy,Find the roots of x^2 + -7x + 6 = 0,"['(1, 6)', '(6,1)', '(0,7)', '(2,5)']","(1, 6)",Roots are 1 and 6
1717,Algebra,Medium,Find the roots of x^2 + 5x + 4 = 0,"['(0,-5)', '(-4,-1)', '(-2,-3)', '(-1, -4)']","(-1, -4)",Roots are -1 and -4
1718,Geometry,Medium,Find area of triangle with base 23 cm and height 14 cm.,"[161.0, 120.75, 80.5, 40.25]",161,Area = 0.5*23*14 = 161.0
1719,Number Theory,Easy,Is 27 prime?,"['Yes', 'No']",No,27 is No
1720,Percentages,Hard,"In an election with 2 candidates, the winner got 65% of votes and won by 900 votes. Find total votes cast.","[3000, 2997, 2998, 2999]",3000,100% = 900/(0.3) = 3000
1721,Number Theory,Easy,Is 40 prime?,"['Yes', 'No']",No,40 is No
1722,Number Theory,Expert,"lcm(10,20)?","[19, 18, 20, 17]",20,LCM=20
1723,Percentages,Medium,"If 20% of a number is 260, what is the number?","[780.0, 1040.0, 520.0, 1300.0]",1300,x = 260/(0.2) = 1300.0
1724,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1725,Percentages,Hard,"If 50% of a number is 1620, what is the number?","[3240.0, 2592.0, 1944.0, 1296.0]",3240,x = 1620/(0.5) = 3240.0
1726,Ratios,Medium,"Ratio 20:13, total=314. Find parts.","['192.3,121.7', '195.3,118.7', '187.3,126.7', '190.3,123.7']","190.3,123.7","Parts=190.3,123.7"
1727,Probability,Easy,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1728,Number Theory,Medium,Is 27 prime?,"['Yes', 'No']",No,27 is No
1729,Percentages,Medium,"In an election with 2 candidates, the winner got 55% of votes and won by 1500 votes. Find total votes cast.","[14997, 15000, 14999, 14998]",15000,100% = 1500/(0.1) = 15000
1730,Algebra,Easy,Find the roots of x^2 + 0x + -4 = 0,"['(-3,3)', '(2,-2)', '(-2, 2)', '(-1,1)']","(-2, 2)",Roots are -2 and 2
1731,Probability,Easy,Urn has 5 red and 2 blue. Prob red?,"['5/7', '5/9', '6/7', '4/7']",05-Jul,"Favorable=5, Total=7"
1732,Ratios,Easy,"Ratio 7:12, total=352. Find parts.","['134.68,217.32', '126.68,225.32', '131.68,220.32', '129.68,222.32']","129.68,222.32","Parts=129.68,222.32"
1733,Algebra,Hard,Find the roots of x^2 + 0x + -25 = 0,"['(-4,4)', '(-5, 5)', '(-6,6)', '(5,-5)']","(-5, 5)",Roots are -5 and 5
1734,Ratios,Medium,"Ratio 11:3, total=244. Find parts.","['193.71,50.29', '196.71,47.29', '191.71,52.29', '188.71,55.29']","191.71,52.29","Parts=191.71,52.29"
1735,Algebra,Hard,Find the roots of x^2 + 5x + 6 = 0,"['(-2,-3)', '(-4,-1)', '(-3, -2)', '(-2,-3)']","(-3, -2)",Roots are -3 and -2
1736,Geometry,Expert,Find circumference of circle radius 4 cm.,"[6.28, 12.56, 25.13, 18.85]",25.13,Circumference=2*pi*r=25.13
1737,Geometry,Expert,Hypotenuse of right triangle with legs 8 cm and 5 cm?,"[6.6, 8.02, 5.19, 9.43]",9.43,c=sqrt(8^2+5^2)=9.43
1738,Ratios,Expert,"Ratio 13:11, total=156. Find parts.","['84.5,71.5', '89.5,66.5', '86.5,69.5', '81.5,74.5']","84.5,71.5","Parts=84.5,71.5"
1739,Percentages,Medium,A value changed by 12.5% then by 12.5%. What is the net change?,"['22.56% gain', '26.56% gain', '30.56% loss', '34.56% gain']",26.56% gain,Net change = 12.5 + 12.5 + (12.5*12.5/100) = 26.56%
1740,Number Theory,Hard,"lcm(23,17)?","[390, 391, 389, 388]",391,LCM=391
